N,OriginalReviews,PreprocessedReviews,Restaurant,ID,total_length,weight,total_percentage,label,RestaurantType
12,    مطعم رائع المأكولات البحرية مذهلة الشورية الإسبانية والاولابوالخدمة متازةالنظافة متازةمن افضل المطاعم مانيلا      ,    مطعم رئع المأكول بحر ذهل شور سبن اولابوالخدمة متازةالنظافة متازةمن فضل طعم مانيلا      ,مطعم ساشي,101,13,13,1,Positive,هندي
13,    قهوة وخدمة رائعة تعودت لتناول القهوة المكان يوميا الموقع جميل بالقرب الاسواق ،والجلسات الخارجية تعطي انتعاش جميل نسمات الهواء الطيف قبيل الغروب قهوتي بلاك كوفي قطعة الحلوى  براونيز        ,    قهو خدم رئع تعود نول قهة كان يوم وقع جمل قرب سوق ،والجلس خرج تعط نعش جمل نسم هوء طيف قبل غرب قهت بلك كوف قطع حلى  راونيز        ,مطعم ساشي,101,28,24,0.857142857142857,Positive,هندي
14,    مكان التقاء الأصدقاء لأول مرة ادخل المكان اني اعرفه بلد زرتها ،التقيت باحد الأصدقاء بحسب اختياره الجو جميل ،والخدمة متازة تذوقت كوكتيل عصير بحق لذيذ عروض موسيقية حية قسمين عبارة مطعم والاخر مقهى وبار واعجبني اعتدال الاسعار       ,    مك تقء صدقاء لأول مرة دخل كان اني عرف بلد زرت ،التق بحد صدقاء حسب خير لجو جمل ،والخدمة تاز تذق كوكتيل عصر بحق لذذ عرض وسق حية قسم عبر طعم اخر قهى وبر عجب عدل سعر       ,مطعم ساشي,101,37,9,0.243243243243243,Positive,هندي
15,    أكل بحري متميز في المطعم الجميل تحصل اكل بحري لذيذ شربة القواقع والقمبري المشوي المقلي اوبالبخار بنكهات اليمون قراس الفلفل اوباثوم ،وكذلك الكراب فعلا لذيذ      ,    أكل بحر تمز ف طعم جمل حصل اكل بحر لذذ شرب ققع قمبر شوي قلي اوبالبخار بنك يمن قرس لفل بثم ،وكذل كرب فعل ذيذ      ,مطعم ساشي,101,25,10,0.4,Positive,هندي
16,    ستيك فاخر مطعم يتميز بتقديم انواع الستيك المكان نظيف الخدمة متازة الاكل لذيذ  كان طلبي قطعة الحم بالصلصة البيضاء وعليها جمبري طلب جانبي عبارة سلطة القيصر خضار سوتيه وكذلك بطاطس مهروسة ومشروب   المطعم ينقسم قسمين الطابق الارضي عبارة بار والعلوي مطعم  يقع المطعم منطقة حيوية وجميلة كلها اسواق ومقاهي ومطاعم  السعر مطاعم الستيك مرتفعه  تجربة اظن اكرها عدت مكاتي       ,    ست فخر مطعم تمز قدم واع ستك كان نظف خدم تاز اكل لذذ  كن طلب قطع لحم صلص يضء وعل جمبر طلب جنب عبر سلط قيصر خضر سوت كذل ططس هرس شرب   طعم قسم قسم طبق ارض عبر بار علي طعم  يقع طعم نطق حيي جمل كله سوق ومق طعم  سعر طعم ستك رفع  تجرب اظن اكر عدت كتي       ,مطعم ساشي,101,59,11,0.186440677966102,Positive,هندي
17,    لا يفوتك مطعم لذيذ  صاحب المطعم موجود دايم ويهتم بالزباين الحم حقهم خطير  رغم بساطته نظيف  المهملى تجربه مر بتروح مره ثاني      ,    لا يفت مطعم لذذ  صحب طعم وجد ديم ويه زبا لحم حقهم خطر  رغم بسط نظف  هملى جرب مر ترح مره ثاني      ,مطعم ساشي,101,22,6,0.272727272727273,Positive,هندي
18,    الحلال صاحب المطعم طيب وسمح بالطبخ مطعمه ويرغب بتقديم الاكل الحلال      ,    الحلال صاحب طعم طيب سمح طبخ طعم رغب قدم اكل حلال      ,مطعم ساشي,101,11,-3,-0.272727272727273,Negative,هندي
19,    مطعم برتغالي متاز وضيافة رهيبة اكل متنوع طعمه يذوب الحلقضيافة عربية أصيلةوقهوة تعطيك لخمسة أيام     تعالو     أكيد يعجبكم           ,    مطعم رتغال تاز ضيف رهب كل تنع طعم يذب حلقضيافة عرب اصيلةوقهوة عطك خمس ايم     تعالو     اكد عجب           ,مطعم ساشي,101,18,0,0,Neutral,هندي
20,    مطعم متاز هذا المطعم متاز لديه اكل لذيذ، موظوفون ودودين جداً جو رائع هادي مهنية عالية جداً اعداد الطعام  صاحب المطعم صدوق ودود جداً، موجود دائماً جانب زبائنه الحلويات لذيذة جداً ايضاً اختصار المطعم جودة عالية جداً      ,    مطعم تاز هذ طعم تاز لده اكل ذيذ، وظف ودد جدا جو رئع هدي هنة علي جدا عدد طعم  صحب طعم صدق ودد جد، وجد دائ جنب زبن حلي لذذ جدا ض خصر طعم جود علي جد      ,مطعم ساشي,101,37,13,0.351351351351351,Positive,هندي
21,    متعة الأيسكريم مطاعم ماكدونالز غنية التعريف شئ أعجبني لذة الأيسكريم يتمتع المكان يمكنك إختيار تفضل النكهات       ,    متع كرم مطاعم ماكدونالز غنة عرف شئ عجب لذة كرم متع كان يمك خير فضل نكه       ,مطعم ساشي,101,16,13,0.8125,Positive,هندي
22,    افضل مكان مكن توجه ذهبت الجزيرة الرائعة صديقي لمرة وبالفعل اروع التجارب وجدنا افضل الطعام والأطباق أماكن الخدمة والنوعية الأفضل والخدمة متازة وقامو بإرشادنا افضل الأشياء افضل الخيارات لسياحة      ,    افضل كان مكن توج ذهب جزر رئع صدق لمر فعل ارع جرب وجد فضل طعم طبق اما خدم نوع فضل خدم تاز قمو إرشاد فضل شيء فضل خير سيح       ,مطعم ساشي,101,29,25,0.862068965517241,Positive,هندي
23,    اجمل مكان مناظر طبيعيه  اشجار الشاطئ الجبل اطيب الاطباق وخدمة متاذة      ,    اجمل كان مناظر طبع  شجر شطئ جبل اطب طبق خدم متاذة      ,مطعم ساشي,101,11,1,0.0909090909090909,Positive,هندي
24,    البيتذا الايطالية الاصلى حقيقى بيتذا روعه اطالية  صانع البتذا ماهر ومتمكن وتسويه البيتذا فرن حطب الفرن الوحيد المنطقه الجرسونات منتهى الذوق والطف      ,    البيتذا يطل صلى حقيقى يتذ روع طلي  صنع بتذ اهر متم تسو يتذ فرن حطب فرن وحد طقه جرسو نهى ذوق طف      ,مطعم ساشي,101,22,1,0.0454545454545455,Positive,هندي
25,    اجمل رحله ذورت المطعم العاءله البىتذا الرائعه والمنظر ساحر البحر والجبل والطبىعه ساحره     اجمل اجازه      ,    اجمل رحل ذور طعم عءل ىتذ رئع نظر سحر بحر جبل طبىع سحر     جمل جازه      ,مطعم ساشي,101,15,17,1.13333333333333,Positive,هندي
26,    مطعم رائع وإطلالة جميلة شاطئ الرمال السوداء مطعم محلّي رائع، يمتاز بالأكل البحري المحضّر الطريقية اليونانية الخاصة بمنطقة سانتوريني العريقةيمكنك ملاحظة روّاد المطعم يأتون إليه الكراسي المدودة شاطئ الرمال السوداء بمنطقة بروڤىليوس الهادئة تمدّك بطاقة لتأمل امتزاجها بألحان المنطقة المحليةشوربة سمك لذيذة طازجة، أنصحكم بتجربة الأخطبوط والبسطرمة بالإضافة لتحلية طبق البقلاوة بالمكسرات      ,    مطعم رئع إطلال جمل شطئ رمل ودء مطعم حلي رائع، ماز اكل بحر حضر طرق يون خصة نطق نور عريقةيمكنك لحظ رود طعم يأت اله كرس دود شطئ رمل ودء نطق بروڤىليوس هدئ تمد بطق أمل مزج ألح نطق محليةشوربة سمك لذذ طازجة، نصح جرب خطبوط طرم ضفة تحل طبق قلو كسر      ,مطعم ساشي,101,53,20,0.377358490566038,Positive,هندي
27,    اطيب اكل كماري صدقا اطيب اكل كماري  زرنا المطعم طلبنا بيتزا باستا سلطة اغريقية الذ انضف تذوقناه الجزيرة  نصح الجميع بتجربة المطعم يفوت اكله   شكرا لسعاد الوجه البشوش      ,    اطيب اكل كمر صدق اطب اكل كمر  زرن طعم طلب يتز بست سلط غرق الذ نضف تذق جزر  نصح جمع جرب طعم يفت اكل   شكر سعد وجه شوش      ,مطعم ساشي,101,28,3,0.107142857142857,Positive,هندي
28,    براي افضل مطاعم رودوس اكل متاز  يوجد المطعم طاولات مطبخ صغير، مطعم عائلي بطابع ميز  يجب الحجز يجب تأتي الساعة السابعة النصف  مرت رودس يجب تجربته مأكولات يونانية متازة      ,    بر فضل طعم رودوس كل تاز  وجد طعم طول طبخ صغير، طعم عئل طبع ميز  يجب حجز يجب تأت سعة سبع نصف  مرت رودس يجب تجربته أكل يون متازة      ,مطعم ساشي,101,29,5,0.172413793103448,Positive,هندي
29,    مطعم رهيب مطعم لذيذ الخدمه متازه الاكل رائع والاجواء جميله ومديرالمطعم كانحريص جوده الاكل والخدمه ولانسى الموقع المتاز لمطعم وانصح الجميع به      ,    مطعم رهب مطعم لذذ خدم تزه اكل رئع جوء جمل ومديرالمطعم كانحريص جود اكل خدم نسى وقع تاز طعم نصح جمع ه      ,مطعم ساشي,101,22,13,0.590909090909091,Positive,هندي
30,    اكل حلو وصاحب مطعم خفيف دم الأكل لذيذ وشهي ملاحظة بسيطة القائمة متعدة صاحب المطعم يوفر المساعدة اختيار الأصناف الميزة جو مرح وخفة دم تجعلك تستمتع بالطلب      ,    كل حلو صحب طعم خفف دم الأكل لذذ وشه لحظ بسط قئم تعد صحب طعم وفر سعد خير صنف يزة جو مرح وخف دم جعل متع طلب      ,مطعم ساشي,101,27,6,0.222222222222222,Positive,هندي
31,    الافضل جودة الطعام وحسن الخدمة ومنظر جميلانصح بزيارته التفاصيل مراعات نوعية الطعام والمقبلات والطبق الرئيسيخدمة جيده جدامنظر خلاب البحر متع لجلوس      ,    الافضل جود طعم وحس خدم نظر جميلانصح زير فصل راع نوع طعم قبل طبق رئيسيخدمة جيد جدامنظر خلب بحر متع جلوس      ,مطعم ساشي,101,21,8,0.380952380952381,Positive,هندي
32,    طعام لذيذ محيط رومنسي رائع خدمه متازه سريعه ماكولات شهيه طازجهاسعار متازهسوف اعود اصدقائي لان الامر يستحق ذلكخاصه انواع الماكولات الشهيه كثيره      ,    طعام لذذ حيط رومنس رئع خدم تزه سرع اكل شهه طازجهاسعار متازهسوف اعد صدقائ لان امر سحق ذلكخاصه واع اكل شهه كثيره      ,مطعم ساشي,101,22,11,0.5,Positive,هندي
33,    مطعم هندي متاز واكله متاز وسرعه تقديم الطلبلكن المكان صغيرموقع المطعم جميل جدايقع قريب السوق والحديقه      ,    مطعم هند متاز وكل تاز سرع قدم طلبل كان صغيرموقع طعم جمل جدايقع قرب سوق حديقه      ,مطعم ساشي,101,16,9,0.5625,Positive,هندي
34,    الذ اكل اثينا بعد قراءتي التعاليق المطعم قرت صديقي نتناول وجبه عشاء لنتاكد الموقع يكن بالصعب دقاءق فندق هلتونبدا المطعم مضيء نظيف لغايه واستقبال لزبناء بطريقه الباب يجعلك تحس كانك بيتك  قدم خبز طازج صنع البيت الصلصه  بعده قريدس مقلي صلطه الخص بالتفاح طلبنا جبن ماعز بالاعشاب مقدم بطريقه رائعه تفتح شهيه الشبعان  اخترنا معجنات بيستو  لحم غنم باليمون الذ  يتوقف الوجبه الحد قدموا الحلويات مجانا كيكه بالجبن ومثلجات صنع البيت  وانا انصح يبحث وجبه صحيه لذيذه يقوم بزىاره المطعم يندم      ,    لذ اكل اثي بعد قرء علق طعم قرت صدق نول وجب عشء تكد وقع يكن صعب دقءق ندق هلتونبدا طعم ضيء نظف لغي واستقبال زبناء طرق باب جعل تحس كنك بيت  قدم خبز طزج صنع بيت صلص  بعد قريدس قلي صلط لخص تفح طلب جبن اعز عشب قدم طرق رئع فتح شهه شبع  ختر عجن ستو  لحم غنم يمن الذ  وقف وجب لحد قدم حلي مجا كيك جبن ثلج صنع بيت  ونا نصح بحث وجب صحه لذذ يقم زىر طعم دم      ,مطعم ساشي,101,81,3,0.037037037037037,Positive,هندي
35,      لقد زرت المطعم مجموعه الأصدقاء لتناول العشاء الأكل لذيذ يعبر ذوق ومهارة الشعب اليوناني ولذة مطبخهم وكذالك طيبة الناس الجزيرة وحبهم لزوار وترحيبهم مالفت نظرنا بالخصوص مقارنه باقي الدول الاوربيه عكس القائمين المطعم الترحيب  ساعدنا الشخص طلباتنا الاختيار ونصحنا بعض الوجبات تحتوي لحم الخنزير مشتقاته ونصحنا   وكذالك قطع لحم ضان البطاطا       ,      لقد زرت طعم جمع صدقاء نول عشء اكل لذذ عبر ذوق هار شعب يون ولذ طبخ كذل طيب ناس جزر وحب زور رحب الف نظر خصص قرن بقي دول ورب عكس قئم طعم رحب  سعد شخص طلب خير نصح بعض وجب حوي لحم خنزير شقا نصح   كذل قطع لحم ضان بطط       ,مطعم ساشي,101,51,2,0.0392156862745098,Positive,هندي
36,       U لقد زرت المطعم مجموعه الأصدقاء لتناول العشاء الأكل لذيذ يعبر ذوق ومهارة الشعب اليوناني ولذة مطبخهم وكذالك طيبة الناس الجزيرة وحبهم لزوار وترحيبهم مالفت نظرنا بالخصوص مقارنه باقي الدول الاوربيه عكس القائمين المطعم الترحيب  صاحب المطعم شخص محترم استقبلنا بكل احترام ،وقد اخترنا قائمة طعامه البيتزا سي فود وكذالك الباستا سي فود وشوربة طماطم وشوربة بصل وقطعه خبز بالثوم ساخنه وطازجه      ,       U لقد زرت طعم جمع صدقاء نول عشء اكل لذذ عبر ذوق هار شعب يون ولذ طبخ كذل طيب ناس جزر وحب زور رحب الف نظر خصص قرن بقي دول ورب عكس قئم طعم رحب  صحب طعم شخص حرم قبل بكل حرم ،وقد ختر قئم طعم يتز سي فود كذل بست سي فود شورب طمطم شورب بصل قطع خبز ثوم سخن وطازجه      ,مطعم ساشي,101,62,2,0.032258064516129,Positive,هندي
37,    أنواع متعدة ومذاق شهي العديد الأصناف الذيذة والقريبة الأكل الشرقي المصقعة ورق العنب الجو العام لمطعم رائع والضيافة متميزة صاحبة المطعم امرأة طابع راقي جداً تغمرك بحسن تعاملها انصح المطعم بشدة      ,    أنواع تعد ذاق شهي العديد صنف ذيذ قرب اكل شرق صقع ورق عنب لجو عام طعم رئع ضيف تمز صحب طعم مرأ طبع رقي جدا غمر بحس عمل نصح طعم شدة      ,مطعم ساشي,101,31,11,0.354838709677419,Positive,هندي
38,    المكان المناسب لاسترخاء كان مطر والجلسه هادئه مقهى نيكولافي منتصف شهر اغسطس الصيفي نسمات الهواءيحلو طعم القهوهمكان جميل جداً الضروري زيارته لكل مر بساحة روسيو بلشبونه      ,    لم نسب لاسترخاء ك مطر جلس هدئ قهى نيكولافي نصف شهر غسطس صيفي نسم هواءيحلو طعم قهوهمك جمل جدا ضرر زير لكل مر بسح روسيو بلشبونه      ,مطعم ساشي,101,26,11,0.423076923076923,Positive,هندي
39,    تناولت العشاء فندق قريب المطار عادي منطقه مزدحمة الطعام عادي اوبن بوفيه مقبول وكعادة اغلب الفنادق الشيف كيني والاكل يغلب الطابع الكيبني      ,    تناول عشء فندق قرب طار عدي طقه زدحم طعم عدي اوب بوف قبل كعد غلب ندق شيف كين اكل غلب طبع كيبني      ,مطعم ساشي,101,22,-1,-0.0454545454545455,Negative,هندي
40,    مطعم تركي الطعام جيد والحوم رائعه والاكل العربي المندي روعه الاسعار مناسبه بالمقارنه باماكن اخري جوبا المطع صغير احدث طراز      ,    مطعم ترك الطعام جيد حوم رئع اكل عرب ندي روع سعر نسب قرن بما اخر جوب مطع صغر حدث طراز      ,مطعم ساشي,101,20,12,0.6,Positive,هندي
41,    اجمل مافيه النيل لعل الميزة لوجوده النيل عيب مساءا لتكاثر الناموس والحشرات تجمع ليل الضوء الطعام عادي وغالي جدا      ,    اجمل افه نيل لعل يزة وجد نيل عيب سءا كثر نمس حشر جمع ليل ضوء طعم عدي وغل جد      ,مطعم ساشي,101,19,-2,-0.105263157894737,Negative,هندي
42,    مطعم لطيف يغلب الطابع اليوناني لان مالكه اظن يوناني الطعام هندي اغلبه لطيف مزدحم دائما الطعام يتأخر نتيجه لزحام مفضل الاجانب ولكنه كحال مطاعم جوبا مطعم بسيط وغالي جدا      ,    مطعم لطف غلب طبع يون لان الك اظن يون طعم هند غلب لطيف زدحم دائ طعم أخر نتج زحم فضل جنب ولك كحل طعم جوب طعم بسط وغل جد      ,مطعم ساشي,101,29,4,0.137931034482759,Positive,هندي
43,    مطعم مختلف الجو العام بجوبا مطعم مختلف بسيط انيق ولكنه يقدم طعام مختلف تصنيفه بانه طعام هندي مقبول وهناك الاصناف تناولها يغلب البهار والحار والنكه الهنديه الخدمه جيده ولكنه مزدحم وخاصة وقت العشاء      ,    مطعم خلف لجو عام بجب مطعم خلف بسط انق ولك قدم طعم خلف صنف بنه طعم هند قبل وهن صنف نول غلب بهر حار نكه هند خدم جيد ولك زدحم وخص وقت عشاء      ,مطعم ساشي,101,33,4,0.121212121212121,Positive,هندي
44,    ابراهيم الأكل وايد متاز الحوم والدجاج موب حلال المكان موقعه جيد والبارك متوفر المطعم ومركز المدينه قريب المطعم      ,    ابراهيم الأكل ويد تاز حوم دجج موب حلل كان وقع جيد برك توفر طعم ركز دين قرب مطعم      ,مطعم ساشي,101,18,5,0.277777777777778,Positive,هندي
45,    من أسواء المطاعم الإيرانية الإطلاق في أسفاري ابحث مطعم إيراني لأنك تجد الأكل القريب مذاق الأكل الخليجيالا لأسف المطعم يرحب يستقبل السائح العربي بالأحرى السائح أسرته تلبس العباية المدخل يرحب يدعي المطعم مغلق طيلة الأسبوع لاسباب واهية يرحب بالأجانب      ,    من سوء طعم يرن طلق ف سفر بحث طعم اير لأن تجد اكل قرب ذاق اكل خليجيالا أسف طعم رحب قبل سئح عرب حرى سئح اسر لبس عبي دخل رحب يدع طعم غلق طيل سبع سبب وهي رحب جانب      ,مطعم ساشي,101,39,-3,-0.0769230769230769,Negative,هندي
46,    لا تضيع وقتك المطعم ديكور رائع ادارة المطعم تعال الزبائن لائق بالذات كنت العرب العائلة فأحد الأفراد يرحب الاخر يقول المطعم مغلق انهم يستقبلون الأجانب السؤال أوقات العمل الإجابة المطعم مغلق طوال الأسبوع لدينا مشكلة صاحب المطعم استوكهولم      ,    لا تضع وقت المطعم ديكور رئع درة طعم تعل زبن لئق ذات كنت عرب عئل أحد فرد رحب اخر يقل طعم غلق نهم قبل جنب سؤل اوق عمل جبة طعم غلق طول سبع لدي شكل صحب طعم استوكهولم      ,مطعم ساشي,101,38,5,0.131578947368421,Positive,هندي
47,    مطعم إيطالي رائع لابد تأكل السلمون المشوي الطريقة السويدية تقدم خشب حجرالسعر مناسبالمكان مرتب ميزالخدمات رائعةالموقع قلب المدينة القديمة      ,    مطعم يطل رئع لابد أكل سلم شوي طرق سود قدم خشب حجرالسعر مناسبالمك رتب ميزالخدم رائعةالموقع قلب دين قديمة      ,مطعم ساشي,101,19,5,0.263157894736842,Positive,هندي
48,    مدهش لغاية قمة الاستمتاع وتناول الطعام الاثيوبى ومشاهدة الرقص الاثيوبى المكان الرائع والاستمتاع باجواء اقل توصف بالرائعة والسعر مناسب سهرة لطيفة      ,    مدهش لغي قم ماع نول طعم ثيوبى شهد رقص ثيوبى كان رئع ماع جوء اقل وصف رئع سعر نسب سهر طيفة      ,مطعم ساشي,101,21,15,0.714285714285714,Positive,هندي
49,    مكان متنوع لكل شيء في شهر اكتوبر زرت المكان  اخترت المكان لانه يفتح مبكرا ويغلق مبكر   مناسب لمن لايحب السهرات يمكنك تناول عشاء محلي خالص وكل المشروبات ومشاهدة عروض شعبية ورقصات  الاسعار مرتفعة مناسبة لميزانية القليلة      ,    مك تنع لكل شيء ف شهر اكتوبر زرت كان  خرت كان لنه فتح بكر غلق بكر   نسب لمن يحب سهر يمك نول عشء حلي خلص وكل شرب شهد عرض شعب رقص  سعر رفع نسب لميزانية قليلة      ,مطعم ساشي,101,36,4,0.111111111111111,Positive,هندي
50,    مطعم رائع اجواء من المطاعم المحبة قلبي، مطعم هوية ناحية المبنى الاجواء،الطعام،الرواد،ام كلثوم والموسيقى الشرقية الاصيلة مكانة المطعم اذا كنت محبيها ستحب المطعم      ,    مطعم رئع جوء م طعم حبة قلبي، طعم هوة نحي بنى اجواء،الطعام،الرواد،ام كلثوم موسيقى شرق صيل كان طعم ذ كنت حبي تحب مطعم      ,مطعم ساشي,101,23,7,0.304347826086957,Positive,هندي
51,    بلا ادنى شك الاماكن المفضلة  بلا ادنى شك الاماكن المفضلة مكان اصيل  جو راقٍ ورائع  ماكولات بجودة علية  وباختصار يبحث المرء يخرج بيته      ,    بل دنى شك اما فضل  بل دنى شك اما فضل م اصل  جو راق ورع  اكل بجد علية  وباختصار بحث مرء خرج ه      ,مطعم ساشي,101,23,7,0.304347826086957,Positive,هندي
52,    المكان الوحيد يجمع العب المؤكولات الارجيلة سقف موقع المطعم متاز الاكل طيب العاملين ودودين وطعم الارجيلة متازة وانصح يريد تجربة لعبة البولنج الارجيلة المكان      ,    لم وحد جمع لعب ؤكل رجل سقف موقع طعم تاز اكل طيب عمل ودد طعم رجل تاز نصح يرد جرب لعب لنج رجل مكان      ,مطعم ساشي,101,24,3,0.125,Positive,هندي
53,    مكان رائع وجبات شهيه وخدمة ميزة في جو المكان الهادئ استمتعت بالموسيقى الرومانسية بالنسبة لأكل الميز ولأول مرة بمدينة القدس تقديمه بطريقة رائعةالنادلة مهتمة براحتي أثناء وجودي المكان الجميل          ,    مك رئع وجب شهه خدم يزة ف جو كان هدئ متع موسيقى رومانسية بالنسبة أكل ميز لأل مرة بمد قدس قدم طرق رائعةالنادلة هتم برح ثنء وجد كان جمل          ,مطعم ساشي,101,29,19,0.655172413793103,Positive,هندي
54,    مكام متاز لقضاء ليلة اوروغوايا مكام متاز لقضاء ليلة اوروغوايا المطعم حد ذاته مفتوح المطبخ فيمكنك رؤية مباشرة يثم شياء الحم مثلا، الخدمة غاية الورعه      ,    مكام تاز قضء ليل روغو مكام تاز قضء ليل روغو طعم حد ذته فتح طبخ فيم رؤة بشر يثم شيء لحم ثل، خدم غية رعه      ,مطعم ساشي,101,25,0,0,Neutral,هندي
55,    مكان رائع عند سفري لألبانيا ذهبت مدينة شكودرا وصلنا الجو مطر ودخلنا لمطعم وتناولنا طعام شهي خصوصا الخبز لذيذ والمطعم مطل منظر جميل      ,    مك رئع عند سفر ألب ذهب دين شكودر وصل لجو مطر دخل طعم نول طعم شهي خصص خبز لذذ طعم مطل نظر جميل      ,مطعم ساشي,101,23,9,0.391304347826087,Positive,هندي
56,    روعة مكان المطعم سحر المكان وروعته المطلة البحر اجمل الاشياء المطعم  مستوي الوجبات ونوع الاكلات البحرية الشحيحة والخدمة السيئة نتيجة لتوظيف عمال مؤهلين سؤ الادارة أسأت لقيمة ورعة موقع المطعم وحديقة الاطفال المتازة  كله يختلف مطعم عدن زالت عدن تفتقر لمطاعم بمستو تليق بمكانتها السابقة      ,    رع كان طعم سحر كان ورع طلة بحر جمل شيء طعم  ستي وجب ونع اكل بحر شحح خدم سيئ نتج وظف عمل ؤهل سؤ درة اسأ لقم ورع وقع طعم حدق طفل تاز  كله خلف طعم عدن زلت عدن فقر طعم ستو تلق بمك سابقة      ,مطعم ساشي,101,45,2,0.0444444444444444,Positive,هندي
57,    موقع المطعم متاز الموقع متاز والإطلاله البحر جميلة الأكلات البحرية متوفرة ومستوى الخدمة رديئالعمال مؤهلون لعمل مطعم والخدمة سيئةهناك حديقة خارجية مناسبة لأكل افضل الداخلية ساحة لأطفال رأيت تزال عدن تفتقر لمطعم بمستوى جيد      ,    موقع طعم تاز الموقع تاز طلل بحر جمل اكل بحر توفر ستى خدم رديئالعمال ؤهل عمل طعم خدم سيئةهناك حدق خرج نسب أكل فضل دخل سحة أطفال رأت تزل عدن فقر طعم ستى جيد      ,مطعم ساشي,101,34,14,0.411764705882353,Positive,هندي
